Symbol,Script
ACEDBL,"Ace Development Bank Ltd"
ACEDPO,"Ace Development Bank Limited Promoter Share"
ACLBSL,"Aarambha Chautari Laghubitta Bittiya Sanstha Limited"
ACLBSLP,"Aarambha Chautari Laghubitta Bittiya Sanstha Limited Promoter Share"
ADBL,"Agricultural Development Bank Limited"
ADBLD83,"10.35% Agricultural Bank Debenture 2083"
ADLB,"Adarsha Laghubitta Bittiya Sanstha Limited"
AEFL,"Alpic Everest Finance Co. Ltd."
AEFLPO,"Alpic Everest Finance Limited Promotor Share"
AFC,"Annunapurna Finance Company Ltd."
AFL,"Api Finance Limited"
AHL,"Asian Hydropower Limited"
AHPC,"Arun Valley Hydropower Development Co. Ltd."
AIC,"Alliance Insurance Co. Ltd."
AIL,"Ajod Insurance Limited"
AKBSL,"Adhikhola Laghubitta Bittiya Sanstha Limited"
AKBSLP,"Adhikhola Laghubitta Bittiya Sanstha Limited Promoter Share"
AKJCL,"Ankhu Khola Jalvidhyut Company Ltd"
AKPL,"Arun Kabeli Power Ltd."
ALBSL,"Asha Laghubitta Bittiya Sanstha Ltd"
ALBSLP,"Asha Laghubitta Bittiya Sanstha Ltd Promoter Share"
ALDBL,"Alpine Development Bank Limited"
ALICL,"Asian Life Insurance Co. Limited"
ALICLP,"Asian Life Insurance Co. Ltd Promoter Share"
AMFI,"Arambha Microfinance Bittiya Sanstha Ltd."
ANLB,"Aatmanirbhar Laghubitta Bittiya Sanstha Limited"
APEX,"Apex Development Bank Ltd."
API,"Api Power Company Ltd."
ARDBL,"Araniko Development Bank Limited"
ARDBLP,"Araniko Development Bank Limited Promoter Share"
AVU,"Arun Vanaspati Udhyog Limited"
AVYAN,"Aviyan Laghubitta Bittiya Sanstha Limited"
AXIS,"Axis Development Bank Limited"
BARUN,"Barun Hydropower Co. Ltd."
BBBL,"Bhrikuti Vikash Bank Limited"
BBBLN,"Bagheshwori Development Bank Limited"
BBBLNP,"Bagheshowari Development Bank Ltd. Promoter Share"
BBBLPO,"Bhrikuti Bikash Bank Limited Promoter Share"
BBC,"Bishal Bazar Company Limited"
BDBL,"Business Development Bank Limited"
BEDC,"Bhugol Energy Development Company Limited"
BFC,"Best Finance Company Ltd."
BFCL,"Bhaktapur Finance Co. Ltd."
BFCPO,"Best Finance Co. Limited Promoter Share"
BFIL,"Bhajuratna Finance & Saving Co. Ltd."
BFL,"Butwal Finance Ltd."
BFLPO,"Butwal Finance Limited Promoter Share"
BGDBL,"Bagmati Development Bank Ltd."
BGDBLP,"Bagmati Development Bank Ltd. Promoter Share"
BGWT,"Bhagawati Hydropower Development Company Limited"
BHBL,"Bhargav Bikash Bank Ltd."
BHBLPO,"Bhargav Bikash Bank Ltd. Promoter Share"
BHDC,"Bindhyabasini Hydropower Development Company Limited"
BHL,"Balephi Hydropower Limited"
BHPL,"Barahi Hydropower Public Limited"
BJFL,"Birgunj Finance Ltd."
BJM,"Biratnagar Jute Mills Limited"
BLDBL,"Biratlaxmi Bikas Bank Limited"
BLDBLP,"Biratlaxmi Development Bank Ltd. Promoter Share"
BNHC,"Buddha Bhumi Nepal Hydropower Company Limited"
BNL,"Bottlers Nepal (Balaju) Limited"
BNT,"Bottlers Nepal (Terai) Limited"
BOAN,"Bank Of Asia Nepal Limited"
BOKD86,"8.5% Bok Debenture 2086"
BOKL,"Bank Of Kathmandu Ltd."
BOKLPO,"Bank Of Kathmandu Lumbini Limited Promoter Share"
BOKPO,"Bank Of Kathmandu Limited Promoter Share"
BPCL,"Butwal Power Company Limited"
BPW,"BPW Laghubitta Bittiya Sanstha Limited"
BRTBL,"Bright Development Bank Ltd"
BSBL,"Bishwa Bikas Bank Limited"
BSBLPO,"Bishwa Bikas Bank Limited Promoter Share"
BSL,"Birat Shoe Limited"
BSM,"Butwal Spinning Mills Limited"
BUDBL,"Business Universal Development Bank Ltd."
BUDBLP,"Business Universal Development Bank Ltd. Promoter Share"
C30MF,"Citizens Super 30 Mutual Fund"
CBBL,"Chhimek Laghubitta Bittiya Sanstha Limited"
CBBLPO,"Chhimek Laghubitta Bikas Bank Limited Promoter Share"
CBL,"Civil Bank Ltd"
CBLD88,"Civil Bank Debenture 2088"
CBLPO,"Civil Bank Ltd Promoter Share"
CCBD88,"Century Debenture 2088"
CCBL,"Century Commercial Bank Ltd."
CCBLPO,"Century Commercial Bank Ltd. Promoter Share"
CDBL,"City Development Bank Limited"
CDBLPO,"City Development Bank Ltd. Promoter"
CEDBL,"Clean Energy Development Bank Limited"
CEDBLP,"Clean Energy Development Bank Ltd. Promoter Share"
CEFL,"City Express Finance Co. Limited"
CEFLPO,"City Express Finance Co. Ltd. Promoter Share"
CFCL,"Central Finance Co. Ltd."
CFCLPO,"Central Finance Co. Ltd. Promoter Share"
CFL,"Crystal Finance Ltd."
CGH,"Chandragiri Hills Limited"
CHCL,"Chilime Hydropower Company Limited"
CHDC,"CEDB Hydropower Development Company Limited"
CHL,"Chhyangdi Hydropower Ltd."
CHLBS,"Chautari Laghubitta Bittya Sanstha Ltd"
CIT,"Citizen Investment Trust"
CITY,"City Hotel Limited"
CIVIC,"Civic Development Bank Ltd"
CIZBD86,"10.25% Citizens Bank Debenture 2086"
CKHL,"Chirkhwa Hydropower Limited"
CLI,"Citizen Life Insurance Company Limited"
CMB,"Capital Merchant Bank & Finance Co. Ltd."
CMBF,"Cmb Finance Limited"
CMBFLP,"Capital Merchant Bank. & Fin. Promoter Share"
CMBFPO,"Cmb Finance Ltd. Promoter Share"
CMBSL,"Civil Merchant Bittiya Santha Ltd."
CMBSLP,"Civil Merchant Bittiya Sanstha Limited Promoter Share"
CMF1,"Citizens Mutual Fund -1"
CMF2,"Citizens Mutual Fund 2"
CNDBL,"Country Development Bank Ltd."
CNDBLP,"Country Development Bank Ltd. Promoter Share"
CORBL,"Corporate Development Bank Limited"
CSDBL,"Cosmos Development Bank Ltd."
CTBNL,"Commerz And Trust Bank Nepal Ltd."
CYCL,"Cyc Nepal Laghubitta Bittiya Sanstha Limited"
CZBIL,"Citizens Bank International Limited"
CZBILP,"Citizens Bank International Limited Promoter Share"
DBBL,"Deva Bikas Bank Limited"
DBBLPO,"Dev Bikasbank Ltd. Promoter Share"
DCBL,"Development Credit Bank Limited"
DDBL,"Deprosc Laghubitta Bittiya Sanstha Limited"
DDBLPO,"Deprosc Laghubitta Promoter Share"
DHPL,"Dibyashwori Hydropower Ltd."
DLBS,"Dhaulagiri Laghubitta Bittiya Sanstha Limited"
DOLTI,"Dolti Power Company Limited"
DORDI,"Dordi Khola Jal Bidyut Company Limited"
EBL,"Everest Bank Limited"
EBLCP,"Everest Bank Ltd (Pre)."
EBLD86,"8.5% Everest Bank Debenture"
EBLPO,"Everest Bank Ltd.Promoter"
EDBL,"Excel Development Bank Ltd."
EDBLPO,"Excel Development Bank Ltd. Promoter Share"
EFL,"Everest Finance Ltd."
EFLPO,"Everest Finance Limited Promoter Share"
EHPL,"Eastern Hydropower Limited"
EIC,"Everest Insurance Co. Ltd."
EICPO,"Everest Insurance Co. Ltd. Promoter Share"
EKBL,"Ekata Bikas Bank Ltd."
ENL,"Emerging Nepal Limited"
ESC,"National Pro. And Eco. Dev. Centre"
FBBL,"Fewa Bikas Bank Limited"
FBBLPO,"Fewa Bikas Bank Ltd. Promoter Share"
FFCL,"Fewa Finance Co. Ltd."
FFCLPO,"Fewa Finance Co. Ltd. Promoter Share"
FHL,"Fleur Himalayan Limited"
FMDBL,"First Micro Finance Laghubitta Bittiya Sanstha Limited"
FMDBLP,"First Micro Finance Development Bank Ltd. Promoter Share"
FOWAD,"Forward Microfinance Laghubitta Bittiya Sanstha Limited"
FOWADP,"Forward Community Microfinance Bittiya Sanstha Ltd Promoter Share"
GABL,"Gaumukhee Bikas Bank Ltd."
GBBD85,"Garima Debenture 2085"
GBBL,"Garima Bikas Bank Limited"
GBBLPO,"Garima Bikas Bank Limited Promoter Share"
GBD80/81,"10.25% Global IME Bank Ltd. Debenture 2080/81"
GBILD86/87,"Global IME Bank Limited Debenture 2086/87"
GBIME,"Global IME Bank Limited"
GBIMEP,"Global IME Bank Ltd. Promoter Share"
GBLBS,"Grameen Bikas Laghubitta Bittiya Sanstha Ltd."
GBLBSP,"Grameen Bikas Laghubitta Bittiya Sanstha Ltd. Promoter Share"
GCIL,"Ghorahi Cement Industry Limited"
GDBL,"Gandaki Bikas Bank Limited"
GDBL1,"Gandaki Bikas Banklimited"
GDBLPO,"Gandaki Bikas Bank Limited Promoter Share"
GDBNL,"Gurkha Development Bank Limited"
GFCL,"Goodwill Finance Limited"
GFCLPO,"Goodwill Finance Co. Ltd. Promoter Share"
GFL,"General Finance Ltd."
GFLK,"Gorkha Finance Ltd."
GFLKPO,"Gorkha Finance Limited Promoter Share"
GFLPO,"General Finance Limited Promoter Share"
GGBSL,"Ghodighoda Laghubitta Bittiya Sanstha Ltd."
GHL,"Ghalemdi Hydro Limited"
GIBF1,"Global IME Balanced Fund-1"
GIC,"General Insurance Company Nepal Ltd"
GILB,"Global IME Laghubitta Bittiya Sanstha Ltd."
GILBPO,"Global IME Laghubitta Bittiya Sanstha Ltd. Promoter Share"
GIMES1,"Global IME Samunnat Scheme-1"
GLBSL,"Gurans Laghubitta Bittiya Sanstha Limited"
GLH,"Greenlife Hydropower Limited"
GLICL,"Gurans Life Insurance Company Ltd."
GLICLP,"Guras Life Insurance Company Ltd. Promoter Share"
GMFBS,"Ganapati Laghubitta Bittiya Sanstha Limited"
GMFIL,"Guheshowori Merchant Bank & Finance Co. Ltd."
GMFILP,"Guheyshwori Merchant & Finance Ltd. Promoter Share"
GRAND,"Grand Bank Nepal Limited"
GRANDP,"Grand Bank Limited Promoter Share"
GRDBL,"Green Development Bank Ltd."
GRDBLP,"Green Development Bank Ltd. Promoter Share"
GRU,"Gorakhkali Rubber Udhyog Limited"
GSDBL,"Gaurishankar Development Bank Ltd."
GSDBLP,"Gaurishankar Development Bank Ltd. Promoter Share"
GUFL,"Gurkhas Finance Ltd."
GUFLPO,"Gurkhas Finance Ltd. Promoter Share"
GULMI,"Gulmi Bikas Bank Ltd."
GVL,"Green Ventures Limited"
GWFD83,"12 % Goodwill Finance Limited Debenture 2083"
H8020,"Himalayan 80-20"
HAMA,"Hama Merchant & Finance Ltd."
HAMAPO,"Hama Merchant & Finance Ltd. Promoter Share"
HAMRO,"Hamro Bikas Bank Ltd."
HAMROP,"Hamro Bikas Bank Ltd. Promoter Share"
HATH,"Hathway Finance Company Limited"
HATHPO,"Hathway Finance Company Limited Promoter Share"
HATHY,"Hathway Investment Nepal Limited"
HBDL,"H&B Development Bank"
HBDLPO,"H&B Development Bank Promoter Share"
HBL,"Himalayan Bank Limited"
HBLD83,"10% Himalayan Bank Debenture 2083"
HBLPO,"Himalayan Bank Ltd. Promoter"
HBT,"Harisiddhi Brick And Tiles Limited"
HDHPC,"Himal Dolakha Hydropower Company Limited"
HDL,"Himalayan Distillery Limited"
HEI,"Himalayan Everest Insurance Limited"
HEIP,"Himalayan Everest Insurance Limited Promoter"
HFL,"Himalayan Finance Limited (Bittiya Sanstha)"
HGI,"Himalayan Gen.Insurance Co.Ltd."
HGIC,"Himalyan General Insurance Co."
HGIPO,"Himalayan General Insurance Co. Ltd Promoter Share"
HHL,"Himalayan Hydropower Limited"
HIDCL,"Hydorelectricity Investment And Development Company Ltd"
